go_id	day_estimate	day_std_error	day_p_value	mian_estimate	mian_std_error	mian_p_value	adj_rsq	day_fdr_pvalue	mian_fdr_pvalue	num_genes	go_name	namespace	num_seq	frac_seq
GO:0007049	0.1391312493558349	0.013990778487095219	1.6797873283011977e-08	-0.1638774846330872	0.021676269129921516	7.813030781342456e-07	0.865377944223415	1.461005271395627e-07	6.795431162504194e-06	569	cell cycle	biological_process	493	0.8664323374340949
GO:0031974	0.1066581105560973	0.014485842399966814	1.1084645091187404e-06	-0.14500152549560216	0.022443284247901898	5.866465317754523e-06	0.7946718828719783	2.900274773245606e-06	2.4268927288993772e-05	522	membrane-enclosed lumen	cellular_component	488	0.9348659003831418
GO:0008219	0.1610592774626983	0.015796466180413332	1.1641801591876182e-08	-0.18440875989872432	0.02447386702206547	8.169055185450166e-07	0.8691673341880053	1.1596274993472196e-07	6.93591685507507e-06	571	cell death	biological_process	486	0.851138353765324
GO:0055114	0.24824873180157656	0.017312256163717808	6.312763414185974e-11	0.15116378160009533	0.026822319015130283	2.9650025322450716e-05	0.9409344857891244	3.751885722497864e-09	7.831999281471056e-05	613	oxidation-reduction process	biological_process	481	0.7846655791190864
GO:0051641	0.21558109326229605	0.024469778310076948	9.582996537741392e-08	-0.2618663603975133	0.03791165021217265	2.536375456168722e-06	0.8367931934492848	4.786301146445061e-07	1.4088340929435612e-05	553	cellular localization	biological_process	480	0.8679927667269439
GO:0031090	0.16137763334483315	0.017250804629898	4.0779235840758395e-08	-0.1704649744725063	0.02672711059004134	6.874199618986012e-06	0.8419537511771833	2.7802957005778335e-07	2.7003652662222026e-05	550	organelle membrane	cellular_component	479	0.8709090909090909
GO:0043233	0.10537826729046595	0.01474491539436418	1.6358814676643007e-06	-0.14645373761096545	0.02284467263068787	6.454318274252178e-06	0.7876819022747668	4.036473952614282e-06	2.6036311047492382e-05	510	organelle lumen	cellular_component	478	0.9372549019607843
GO:0070013	0.10467812229500816	0.014806095193600646	1.8813940413136512e-06	-0.14680138025291106	0.02293946005047208	6.596032082988516e-06	0.7852868314348442	4.563980375050667e-06	2.631034721245755e-05	508	intracellular organelle lumen	cellular_component	476	0.937007874015748
GO:0007276	0.18611416200679717	0.017785623162721725	7.9283369684235e-09	-0.22930395197752523	0.027555718552339493	2.1259188934471435e-07	0.8802187091070272	9.487399204496041e-08	3.5887053628902954e-06	568	gamete generation	biological_process	469	0.8257042253521126
GO:0022402	0.14019192542479322	0.013901007139651148	1.3673964165947129e-08	-0.1645704769270002	0.021537184096937237	6.77814150812371e-07	0.8684172998570449	1.2831935846254595e-07	6.314121566399912e-06	522	cell cycle process	biological_process	460	0.8812260536398467
GO:0012501	0.1582142546856782	0.015589558452511011	1.2464581830854332e-08	-0.18110106788156924	0.024153299614096853	8.719556289355494e-07	0.8680727022983975	1.2211180991435864e-07	7.170705786910843e-06	516	programmed cell death	biological_process	453	0.877906976744186
GO:0071702	0.28406329333840835	0.028439971144880928	1.575373639593522e-08	-0.31796970997247265	0.04406277099964534	1.4423803763859066e-06	0.8627407444987506	1.395680383597671e-07	9.910430727916294e-06	579	organic substance transport	biological_process	450	0.7772020725388601
GO:0006915	0.15927376569662394	0.015846595871503107	1.4370070818945291e-08	-0.18033532193598642	0.02455153422810866	1.1441810478138362e-06	0.8650347664351877	1.3139403215476642e-07	8.513965960581996e-06	506	apoptotic process	biological_process	443	0.8754940711462451
GO:0048523	0.22158117334448807	0.019991884304979578	3.3587273371785037e-09	-0.2786104809728153	0.030973935082218844	7.142355920469216e-08	0.8933641742777765	5.118470805289976e-08	2.387524941524666e-06	566	negative regulation of cellular process	biological_process	442	0.7809187279151943
GO:0006811	0.26846527027265144	0.028551602442909926	3.78828781159615e-08	-0.2982402970042666	0.04423572421033558	3.4481621658455275e-06	0.846952288622145	2.648830261990563e-07	1.6942604144428337e-05	753	ion transport	biological_process	435	0.5776892430278885
GO:1901566	0.12379272310388481	0.014085989389315101	9.922614820418955e-08	-0.13842433035379736	0.021823781803538958	7.354819086314684e-06	0.8287488449243428	4.900837181386979e-07	2.8334315709024648e-05	505	organonitrogen compound biosynthetic process	biological_process	429	0.8495049504950495
GO:0005739	0.12548263509255042	0.016914915421242387	1.0040003696050437e-06	-0.11657969691373715	0.026206708891781942	0.00035257292601502177	0.7574336406649819	2.6919288105350272e-06	0.0006121105424389325	458	mitochondrion	cellular_component	423	0.9235807860262009
GO:0051649	0.21668105487863662	0.024752404143959794	1.048636675378901e-07	-0.260597011675832	0.03834952960851674	3.1219660760487566e-06	0.8340652380758664	5.080758674458099e-07	1.576902411783267e-05	486	establishment of localization in cell	biological_process	422	0.8683127572016461
