probe_id	wormbase_id
187171_s_at	WBGene00000001
192458_at	WBGene00000002
190092_at	WBGene00000003
190053_at	WBGene00000004
190396_s_at	WBGene00000005
175425_at	WBGene00000006
189918_s_at	WBGene00000006
190756_at	WBGene00000007
184221_at	WBGene00000008
189901_at	WBGene00000009
183740_at	WBGene00000010
175642_s_at	WBGene00000013
178954_at	WBGene00000014
186162_at	WBGene00000015
177762_at	WBGene00000016
174890_at	WBGene00000018
194131_s_at	WBGene00000018
189277_at	WBGene00000019
177358_at	WBGene00000020
189322_at	WBGene00000020
191816_at	WBGene00000021
189473_at	WBGene00000022
189571_at	WBGene00000023
184782_at	WBGene00000025
191122_at	WBGene00000026
187887_at	WBGene00000027
187888_s_at	WBGene00000027
179983_at	WBGene00000033
173482_s_at	WBGene00000034
174041_at	WBGene00000035
176613_at	WBGene00000035
175746_at	WBGene00000036
191822_s_at	WBGene00000036
187990_s_at	WBGene00000037
187856_s_at	WBGene00000038
173654_at	WBGene00000039
188527_s_at	WBGene00000039
193891_at	WBGene00000040
184052_s_at	WBGene00000041
193868_at	WBGene00000042
193304_at	WBGene00000043
189313_at	WBGene00000044
192075_at	WBGene00000045
192741_at	WBGene00000046
193222_at	WBGene00000047
192254_at	WBGene00000048
193580_at	WBGene00000050
193235_at	WBGene00000051
193789_at	WBGene00000053
189872_at	WBGene00000054
193648_at	WBGene00000055
193413_at	WBGene00000056
192412_at	WBGene00000057
193424_at	WBGene00000058
192309_at	WBGene00000059
189416_at	WBGene00000060
192481_at	WBGene00000061
192482_s_at	WBGene00000061
191566_at	WBGene00000062
173992_at	WBGene00000065
174795_at	WBGene00000066
189551_s_at	WBGene00000067
191633_s_at	WBGene00000068
191877_at	WBGene00000069
179161_at	WBGene00000070
193920_at	WBGene00000070
174405_at	WBGene00000071
175727_s_at	WBGene00000072
175732_at	WBGene00000072
187854_s_at	WBGene00000072
173448_s_at	WBGene00000073
192244_s_at	WBGene00000074
191363_s_at	WBGene00000075
188416_s_at	WBGene00000080
176769_s_at	WBGene00000081
190550_at	WBGene00000082
174723_at	WBGene00000083
189243_at	WBGene00000083
182454_at	WBGene00000084
192554_at	WBGene00000085
173456_at	WBGene00000086
188458_s_at	WBGene00000086
193818_s_at	WBGene00000088
173226_s_at	WBGene00000089
182292_at	WBGene00000089
171838_x_at	WBGene00000090
193074_s_at	WBGene00000090
174401_at	WBGene00000092
188296_at	WBGene00000092
185698_at	WBGene00000093
185038_at	WBGene00000094
172057_x_at	WBGene00000095
172967_x_at	WBGene00000095
193149_at	WBGene00000096
183597_at	WBGene00000097
191329_s_at	WBGene00000098
191184_at	WBGene00000099
175053_at	WBGene00000100
176976_at	WBGene00000100
188324_at	WBGene00000100
188333_s_at	WBGene00000100
189079_s_at	WBGene00000100
194256_x_at	WBGene00000100
173468_at	WBGene00000101
183889_s_at	WBGene00000101
175808_s_at	WBGene00000102
194058_s_at	WBGene00000102
175809_at	WBGene00000103
194014_s_at	WBGene00000103
174189_at	WBGene00000105
174286_at	WBGene00000105
177915_at	WBGene00000105
174804_at	WBGene00000106
179952_at	WBGene00000106
190851_at	WBGene00000107
190712_at	WBGene00000108
192633_at	WBGene00000109
174469_at	WBGene00000110
190728_s_at	WBGene00000110
190762_at	WBGene00000110
190620_s_at	WBGene00000111
190694_s_at	WBGene00000112
192937_at	WBGene00000113
193502_s_at	WBGene00000114
190995_at	WBGene00000115
190590_s_at	WBGene00000116
192098_at	WBGene00000117
190920_at	WBGene00000118
193736_at	WBGene00000120
188872_at	WBGene00000121
193709_at	WBGene00000122
191893_s_at	WBGene00000123
190834_at	WBGene00000133
191751_at	WBGene00000134
174714_at	WBGene00000135
189908_at	WBGene00000135
190301_s_at	WBGene00000136
190272_at	WBGene00000137
178588_s_at	WBGene00000138
179196_at	WBGene00000139
174489_at	WBGene00000140
174791_s_at	WBGene00000140
179827_at	WBGene00000140
181623_at	WBGene00000140
182844_s_at	WBGene00000140
188397_at	WBGene00000140
191344_s_at	WBGene00000142
176913_at	WBGene00000143
187508_at	WBGene00000143
192203_s_at	WBGene00000144
192918_at	WBGene00000145
190680_s_at	WBGene00000146
186386_s_at	WBGene00000147
188329_at	WBGene00000148
173504_at	WBGene00000149
173505_s_at	WBGene00000149
188878_s_at	WBGene00000149
193878_s_at	WBGene00000150
193194_at	WBGene00000151
189115_s_at	WBGene00000155
188110_s_at	WBGene00000156
192044_at	WBGene00000157
172129_x_at	WBGene00000158
174981_at	WBGene00000158
176969_at	WBGene00000158
192028_at	WBGene00000159
173376_s_at	WBGene00000160
187113_at	WBGene00000160
174879_at	WBGene00000161
189016_at	WBGene00000161
187833_s_at	WBGene00000162
191561_s_at	WBGene00000163
192100_at	WBGene00000164
192903_at	WBGene00000166
175612_at	WBGene00000168
188062_s_at	WBGene00000168
180913_at	WBGene00000169
171910_x_at	WBGene00000170
192699_s_at	WBGene00000170
190707_at	WBGene00000171
190837_at	WBGene00000172
190939_at	WBGene00000173
188721_at	WBGene00000174
189807_at	WBGene00000175
192076_at	WBGene00000176
187469_s_at	WBGene00000178
177482_at	WBGene00000179
194111_at	WBGene00000180
193427_at	WBGene00000181
174943_at	WBGene00000182
174944_s_at	WBGene00000182
187865_at	WBGene00000182
175058_at	WBGene00000183
192156_at	WBGene00000183
186857_at	WBGene00000184
187872_at	WBGene00000185
174026_at	WBGene00000186
194031_at	WBGene00000186
175319_at	WBGene00000187
193053_at	WBGene00000187
194037_at	WBGene00000188
192764_at	WBGene00000189
190776_at	WBGene00000190
175174_s_at	WBGene00000192
191182_at	WBGene00000192
192373_at	WBGene00000193
189562_at	WBGene00000195
172036_x_at	WBGene00000196
190533_s_at	WBGene00000196
175645_s_at	WBGene00000197
191028_at	WBGene00000197
173972_s_at	WBGene00000198
188492_s_at	WBGene00000199
173624_at	WBGene00000200
188285_s_at	WBGene00000200
173554_at	WBGene00000201
181000_s_at	WBGene00000201
187442_s_at	WBGene00000203
173552_s_at	WBGene00000205
190337_s_at	WBGene00000206
190242_at	WBGene00000207
184727_s_at	WBGene00000208
191143_at	WBGene00000209
191144_s_at	WBGene00000209
189436_at	WBGene00000210
192104_at	WBGene00000211
192144_s_at	WBGene00000212
192194_s_at	WBGene00000213
183470_at	WBGene00000214
189862_at	WBGene00000215
191956_at	WBGene00000216
173148_s_at	WBGene00000217
191607_s_at	WBGene00000217
174352_s_at	WBGene00000218
190096_at	WBGene00000218
173036_s_at	WBGene00000219
173989_s_at	WBGene00000219
189943_at	WBGene00000220
192027_s_at	WBGene00000221
174669_s_at	WBGene00000222
188462_at	WBGene00000222
172407_x_at	WBGene00000223
173892_s_at	WBGene00000223
191216_s_at	WBGene00000223
192037_at	WBGene00000224
188953_s_at	WBGene00000225
172042_x_at	WBGene00000226
189704_s_at	WBGene00000226
180941_at	WBGene00000227
189086_s_at	WBGene00000228
191573_s_at	WBGene00000229
188137_s_at	WBGene00000230
174702_at	WBGene00000231
178504_at	WBGene00000231
176660_s_at	WBGene00000232
194145_x_at	WBGene00000232
193518_s_at	WBGene00000233
192752_at	WBGene00000235
186704_s_at	WBGene00000236
174470_at	WBGene00000237
176397_at	WBGene00000237
190689_s_at	WBGene00000238
192695_at	WBGene00000239
193649_s_at	WBGene00000240
175867_at	WBGene00000241
184942_at	WBGene00000242
186256_at	WBGene00000244
189710_at	WBGene00000245
185341_s_at	WBGene00000246
185400_at	WBGene00000246
185549_at	WBGene00000246
192902_at	WBGene00000246
181053_s_at	WBGene00000247
187789_at	WBGene00000247
174883_s_at	WBGene00000248
189648_at	WBGene00000248
193166_at	WBGene00000249
193216_at	WBGene00000250
174152_s_at	WBGene00000251
190348_at	WBGene00000251
188391_at	WBGene00000252
175657_s_at	WBGene00000253
172006_x_at	WBGene00000254
172869_x_at	WBGene00000254
172870_x_at	WBGene00000254
175666_s_at	WBGene00000254
175669_at	WBGene00000254
191062_s_at	WBGene00000254
191107_s_at	WBGene00000254
191212_s_at	WBGene00000254
194220_x_at	WBGene00000254
177581_at	WBGene00000255
173162_s_at	WBGene00000257
192364_s_at	WBGene00000257
192207_at	WBGene00000259
180601_s_at	WBGene00000262
172599_x_at	WBGene00000263
172909_x_at	WBGene00000264
173968_s_at	WBGene00000264
179791_s_at	WBGene00000265
190917_at	WBGene00000266
179949_at	WBGene00000267
188054_at	WBGene00000268
176901_at	WBGene00000269
193633_s_at	WBGene00000271
180489_at	WBGene00000273
188338_at	WBGene00000274
192167_at	WBGene00000275
172013_x_at	WBGene00000276
187141_at	WBGene00000276
173438_at	WBGene00000277
186773_s_at	WBGene00000277
190238_at	WBGene00000279
175329_s_at	WBGene00000280
189709_at	WBGene00000280
173294_at	WBGene00000281
189796_s_at	WBGene00000281
189628_at	WBGene00000282
190282_at	WBGene00000283
189711_at	WBGene00000284
192983_at	WBGene00000285
188630_at	WBGene00000286
190642_s_at	WBGene00000287
188689_at	WBGene00000288
174771_at	WBGene00000289
193362_at	WBGene00000289
172010_x_at	WBGene00000292
188551_s_at	WBGene00000292
174042_at	WBGene00000293
193666_at	WBGene00000293
190392_s_at	WBGene00000294
193560_s_at	WBGene00000295
192414_at	WBGene00000296
190591_at	WBGene00000298
173403_s_at	WBGene00000301
190296_at	WBGene00000301
190439_s_at	WBGene00000302
173017_at	WBGene00000366
191123_s_at	WBGene00000366
193918_at	WBGene00000367
192518_at	WBGene00000368
173744_at	WBGene00000369
187619_s_at	WBGene00000369
171827_x_at	WBGene00000370
184071_s_at	WBGene00000370
189990_at	WBGene00000371
189815_at	WBGene00000372
189344_s_at	WBGene00000373
189117_s_at	WBGene00000374
189444_at	WBGene00000375
174257_at	WBGene00000376
193716_s_at	WBGene00000376
173381_at	WBGene00000377
173382_s_at	WBGene00000377
192243_at	WBGene00000377
175118_s_at	WBGene00000378
189974_s_at	WBGene00000378
192169_s_at	WBGene00000379
194250_x_at	WBGene00000379
174676_at	WBGene00000380
192602_s_at	WBGene00000380
171963_x_at	WBGene00000381
188482_s_at	WBGene00000381
186879_s_at	WBGene00000382
173747_at	WBGene00000383
174820_s_at	WBGene00000383
186608_s_at	WBGene00000383
186610_s_at	WBGene00000383
186698_s_at	WBGene00000383
171724_x_at	WBGene00000386
190107_at	WBGene00000386
174914_at	WBGene00000387
193325_at	WBGene00000387
173943_s_at	WBGene00000388
193217_at	WBGene00000389
175783_s_at	WBGene00000390
188912_s_at	WBGene00000390
189851_at	WBGene00000391
189699_at	WBGene00000392
174150_at	WBGene00000393
193718_at	WBGene00000393
179837_s_at	WBGene00000395
194029_s_at	WBGene00000396
174613_at	WBGene00000397
190177_at	WBGene00000399
190326_at	WBGene00000401
180954_at	WBGene00000402
181015_at	WBGene00000402
174826_at	WBGene00000403
187795_at	WBGene00000403
193939_at	WBGene00000405
173429_at	WBGene00000406
193858_s_at	WBGene00000406
173139_s_at	WBGene00000407
193875_s_at	WBGene00000407
172068_x_at	WBGene00000408
176484_s_at	WBGene00000408
177297_s_at	WBGene00000408
190709_at	WBGene00000409
193890_s_at	WBGene00000410
188316_s_at	WBGene00000411
191611_at	WBGene00000412
187198_s_at	WBGene00000413
173863_s_at	WBGene00000414
173720_at	WBGene00000415
189327_s_at	WBGene00000415
175812_at	WBGene00000416
175813_s_at	WBGene00000416
174274_at	WBGene00000417
194137_at	WBGene00000417
188557_at	WBGene00000418
175635_at	WBGene00000419
191080_s_at	WBGene00000419
175802_at	WBGene00000420
188052_s_at	WBGene00000420
175793_s_at	WBGene00000421
193420_s_at	WBGene00000421
181701_at	WBGene00000422
174916_at	WBGene00000423
193864_at	WBGene00000423
172721_x_at	WBGene00000424
173435_s_at	WBGene00000424
188142_s_at	WBGene00000424
173175_s_at	WBGene00000425
188420_at	WBGene00000425
174072_at	WBGene00000426
188266_at	WBGene00000427
176628_at	WBGene00000428
191750_at	WBGene00000429
191117_at	WBGene00000430
194028_s_at	WBGene00000431
191844_at	WBGene00000432
193515_at	WBGene00000433
176624_at	WBGene00000435
192019_at	WBGene00000436
176615_at	WBGene00000437
192631_s_at	WBGene00000438
188939_at	WBGene00000439
191721_at	WBGene00000440
174788_s_at	WBGene00000441
187890_at	WBGene00000441
192315_at	WBGene00000442
175601_at	WBGene00000443
177324_s_at	WBGene00000443
174031_at	WBGene00000444
174867_at	WBGene00000444
190942_at	WBGene00000444
175701_at	WBGene00000445
193693_s_at	WBGene00000445
189145_at	WBGene00000446
193511_at	WBGene00000447
176620_at	WBGene00000448
192317_at	WBGene00000449
193479_at	WBGene00000450
189850_at	WBGene00000451
189951_at	WBGene00000452
174236_at	WBGene00000453
193576_at	WBGene00000453
188645_at	WBGene00000454
192166_s_at	WBGene00000455
173826_s_at	WBGene00000457
173897_at	WBGene00000458
192014_s_at	WBGene00000458
174794_at	WBGene00000459
189668_at	WBGene00000459
174323_at	WBGene00000460
190946_at	WBGene00000460
192022_at	WBGene00000461
175360_at	WBGene00000462
193249_at	WBGene00000462
193833_s_at	WBGene00000463
175548_at	WBGene00000464
176483_at	WBGene00000464
176499_at	WBGene00000464
171776_x_at	WBGene00000465
192390_at	WBGene00000465
192337_at	WBGene00000466
177604_at	WBGene00000467
177875_at	WBGene00000467
