probe_id	orf_id	wormbase_id	gene_symbol
cea2.c.00914	C25A1.8	WBGene00007709	clec-87
cea2.c.02677	F21F3.6	WBGene00017675	
cea2.c.02801	F25H2.9	WBGene00003926	pas-5
cea2.c.04344	F56H1.4	WBGene00004505	rpt-5
cea2.c.04508	H06O01.1	WBGene00003964	pdi-3
cea2.c.06048	T20F10.2	WBGene00011864	
cea2.c.06316	T23H2.5	WBGene00004273	rab-10
cea2.c.07850	Y65B4BR.6	WBGene00001725	grl-16
cea2.c.08046	Y71F9B.8	WBGene00022129	lron-11
cea2.c.10006	C16A11.1	WBGene00001673	gpa-11
cea2.c.10341	C30B5.6	WBGene00016247	
cea2.c.11934	F33A8.2	WBGene00003756	nlp-18
cea2.c.12152	F37H8.5	WBGene00009514	
cea2.c.13713	R07G3.1	WBGene00000390	cdc-42
cea2.c.13904	T01E8.4	WBGene00003177	mec-15
cea2.c.15361	Y48E1B.10	WBGene00001768	gst-20
cea2.c.15549	Y54G9A.7	WBGene00013210	
cea2.c.17394	C16A3.4	WBGene00015809	
cea2.c.17578	C28H8.12	WBGene00001018	dnc-2
cea2.c.19247	F40H6.1	WBGene00018253	
cea2.c.19590	F48E8.3	WBGene00018610	
cea2.c.22071	R07E5.14	WBGene00004387	rnp-4
cea2.c.22331	R74.3	WBGene00006959	xbp-1
cea2.c.24015	Y41C4A.13	WBGene00012759	sup-1
cea2.c.24153	Y48A6B.3	WBGene00012964	
cea2.c.25538	ZK652.6	WBGene00022785	
cea2.c.27136	C49C3.12	WBGene00008202	clec-197
cea2.c.27300	E04A4.7	WBGene00017121	cyc-2.1
cea2.c.28957	F52C12.5	WBGene00001253	elt-6
cea2.c.29283	F58F9.7	WBGene00019060	
cea2.c.31028	T09A12.5	WBGene00020374	
cea2.c.31294	T20D3.6	WBGene00011859	
cea2.c.32298	Y66H1A.5	WBGene00022047	
cea2.c.32468	Y73B6A.4	WBGene00004885	smg-7
cea2.c.34013	C16D9.9	WBGene00015864	
cea2.c.34181	C26F1.4	WBGene00004499	rps-30
cea2.c.35304	F21F8.3	WBGene00000218	asp-5
cea2.c.35470	F23H12.3	WBGene00009093	
cea2.c.36708	F57F5.4	WBGene00000073	add-2
cea2.c.36894	H14N18.3	WBGene00019203	ttr-47
cea2.c.38631	T19C4.7	WBGene00003771	nlp-33
cea2.c.38836	T27E4.7	WBGene00020865	
cea2.c.40362	ZC190.1	WBGene00000541	cln-3.3
cea2.c.40549	ZK836.1	WBGene00003057	lon-3
cea2.c.42476	C52G5.2	WBGene00008260	
cea2.c.42790	E03G2.3	WBGene00003169	mec-5
cea2.c.45129	F46G11.4	WBGene00018517	
cea2.c.47515	T04F8.2	WBGene00011441	
cea2.c.47712	T10B10.2	WBGene00011679	ucr-2.2
cea2.c.49415	T13C5.7	WBGene00020487	
cea2.c.50222	B0250.1	WBGene00004413	rpl-2
cea2.d.02944	F30A10.9	WBGene00009266	
cea2.d.03008	F33D11.10	WBGene00018007	
cea2.d.06317	W04G5.2	WBGene00004275	rab-11.2
cea2.d.06803	Y48G9A.9	WBGene00021702	
cea2.d.06938	Y51H7C.11	WBGene00021789	nol-6
cea2.d.08117	Y51H4A.13	WBGene00013107	
cea2.d.08337	AC8.1	WBGene00004054	
cea2.d.10232	C03A7.14	WBGene00000031	abu-8
cea2.d.12954	C16C4.14	WBGene00015838	math-9
cea2.d.13065	C17B7.11	WBGene00015885	fbxa-65
cea2.d.14567	C27C7.4	WBGene00003663	nhr-73
cea2.d.16662	C44C8.1	WBGene00016646	fbxc-5
cea2.d.19988	F11G11.12	WBGene00000649	col-73
cea2.d.21316	F19G12.1	WBGene00017609	
cea2.d.21461	F20E11.3	WBGene00005376	srh-160
cea2.d.22181	F26F2.4	WBGene00009169	
cea2.d.23728	F35F10.9	WBGene00018058	srbc-1
cea2.d.23999	F36F12.6	WBGene00018097	clec-208
cea2.d.25080	F41G4.5	WBGene00018309	
cea2.d.25206	F42A6.1	WBGene00018323	
cea2.d.27769	F53F1.11	WBGene00005097	srd-19
cea2.d.27956	F54D7.6	WBGene00023067	rpl-41.1
cea2.d.29855	F57B9.8	WBGene00018999	
cea2.d.31459	H27D07.2	WBGene00005888	srw-141
cea2.d.33831	M01G12.2	WBGene00010817	
cea2.d.35535	R11G11.10	WBGene00005852	srw-105
cea2.d.38830	T13H5.5	WBGene00011759	mrps-18B
cea2.d.38997	T17A3.4	WBGene00020542	fbxb-82
cea2.d.40815	W02D7.9	WBGene00020944	
cea2.d.40910	W03D8.7	WBGene00020988	
cea2.d.42064	Y108F1.4	WBGene00022432	math-43
cea2.d.43448	Y38E10A.12	WBGene00012590	nspe-3
cea2.d.44373	Y47H9A.1	WBGene00012945	
