sample	behavior
tg10	A
tg100	A
tg101	A
tg102	C
tg103	B
tg104	A
tg105	B
tg106	C
tg108	B
tg109	A
tg11	B
tg110	A
tg111	A
tg112	A
tg113	B
tg114	C
tg115	B
tg116	C
tg117	B
tg118	A
tg119	A
tg120	B
tg121	B
tg122	A
tg123	A
tg124	A
tg125	A
tg126	C
tg127	A
tg128	B
tg129	C
tg130	B
tg131	B
tg132	A
tg133	B
tg134	A
tg135	A
tg136	B
tg137	A
tg138	A
tg139	A
tg14	B
tg20	B
tg23	A
tg24	B
tg26	B
tg28	B
tg29	A
tg30	B
tg31	C
tg32	A
tg33	C
tg34	A
tg35	C
tg36	C
tg37	A
tg38	B
tg39	A
tg40	B
tg41	B
tg42	B
tg43	C
tg44	C
tg45	A
tg46	B
tg47	A
tg48	C
tg49	A
tg50	A
tg51	A
tg52	A
tg53	C
tg54	B
tg56	B
tg57	A
tg58	B
tg59	C
tg6	C
tg60	A
tg61	A
tg62	A
tg64	B
tg67	B
tg75	B
tg76	A
tg77	B
tg79	B
tg8	A
tg82	A
tg83	A
tg85	B
tg86	A
tg87	A
tg88	C
tg89	A
tg90	B
tg91	A
tg92	C
tg93	A
tg94	A
tg95	A
tg96	B
tg97	B
tg98	B
