Gene,old_J147.1,old_J147.2,old_J147.3,old_untreated.1,old_untreated.2,old_untreated.3,young.1,young.2,young.3,young.4
Xkr4,92,141,169,64,87,84,113,147,62,93
Rp1,0,0,1,1,1,1,1,1,0,2
Sox17,80,106,95,88,82,95,65,85,70,74
Mrpl15,421,405,395,402,370,370,295,319,212,356
Lypla1,309,290,362,311,295,337,241,263,158,288
Tcea1,224,228,224,190,200,204,159,189,112,162
Rgs20,230,206,216,194,182,195,220,259,159,281
Atp6v1h,2176,2172,2138,2240,2101,2219,1738,1901,1295,1964
Oprk1,66,41,36,49,34,25,43,42,42,62
Npbwr1,38,35,29,44,36,25,8,19,5,10
Rb1cc1,1379,1514,1536,1234,1356,1258,1119,1285,796,1297
Fam150a,0,0,0,0,0,1,1,0,0,0
St18,465,397,379,402,421,433,84,111,42,113
Pcmtd1,1379,1354,1496,1359,1304,1336,1016,1140,647,1220
Sntg1,471,472,500,449,465,462,466,501,344,488
Rrs1,232,210,227,205,201,202,159,196,122,133
Adhfe1,263,200,224,207,226,222,197,186,115,182
2610203C22Rik,4,4,2,5,4,2,2,2,1,4
3110035E14Rik,3635,3924,4229,3742,3604,3812,4707,4784,3295,5325
Mybl1,45,41,53,44,49,39,42,64,29,65
Vcpip1,1010,940,990,856,893,879,636,786,522,773
1700034P13Rik,1,0,1,0,0,0,1,2,0,0
Sgk3,178,145,142,126,182,180,159,174,121,190
Mcmdc2,1,2,1,1,2,2,2,2,1,5
Snhg6,79,94,86,96,87,97,54,68,33,88
Snord87,0,1,1,2,2,2,2,3,0,1
Tcf24,7,5,4,14,5,3,3,2,2,4
Ppp1r42,9,9,10,5,13,5,9,4,6,7
Cops5,786,742,860,847,765,864,618,707,477,673
Cspp1,456,489,475,414,394,424,391,455,281,556
Arfgef1,2064,2254,2079,1898,2031,1917,1663,1895,1219,1812
Cpa6,3,7,6,7,1,2,4,4,3,1
Prex2,737,819,754,561,608,679,491,645,334,614
A830018L16Rik,1212,1070,1177,1029,1044,1083,943,1015,645,1032
Mir6341,0,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0,0
Sulf1,307,129,243,129,217,160,164,167,130,199
Slco5a1,45,46,42,48,52,40,40,35,28,39
Prdm14,0,1,0,0,0,0,0,0,0,0
Ncoa2,1896,2006,1974,1460,1619,1710,1431,1732,1075,1703
Tram1,591,514,577,582,481,556,352,401,260,443
Lactb2,99,89,129,113,107,106,78,110,67,98
Xkr9,0,0,1,1,0,0,0,1,0,0
Gm5523,2,1,2,4,3,2,0,0,0,0
Eya1,275,247,285,241,246,326,118,198,120,167
Msc,19,23,23,18,13,17,11,16,22,24
Trpa1,16,14,12,12,13,9,0,2,3,2
Kcnb2,90,109,122,68,96,103,86,109,70,97
Terf1,124,128,144,89,111,128,103,116,82,124
Sbspon,7,6,6,5,2,6,4,5,5,2
4930444P10Rik,4,5,8,6,7,10,6,3,2,1
Rpl7,721,670,731,680,662,705,555,617,352,574
Rdh10,174,161,126,135,125,173,122,114,61,115
Stau2,1391,1473,1421,1379,1437,1368,1217,1209,847,1365
Ube2w,984,979,916,875,888,871,586,695,434,741
Tceb1,633,631,638,651,716,678,435,533,330,591
D030040B21Rik,0,0,0,0,0,0,0,0,0,1
Tmem70,423,445,369,374,366,425,274,296,185,301
Ly96,11,20,10,15,8,13,7,10,8,5
Jph1,570,568,610,547,626,558,291,356,161,317
Gdap1,1930,1913,1984,1921,1817,1835,1355,1503,961,1585
Pi15,39,23,27,19,18,40,4,2,5,1
Crispld1,65,49,77,52,57,57,33,37,29,52
Crisp4,0,0,0,0,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0,0,0,0
Gm15386,0,0,0,0,0,0,0,0,0,0
Tfap2d,0,0,1,1,0,0,0,0,2,1
Tfap2b,12,1,16,4,3,4,13,17,19,9
Pkhd1,0,2,0,0,0,0,2,1,1,3
4930486I03Rik,0,0,0,0,0,0,2,1,1,0
Mir206,0,0,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0,0,0
Il17a,0,0,0,0,0,0,0,0,0,0
Il17f,3,0,0,0,2,2,0,0,0,0
Mcm3,25,39,36,40,34,23,24,31,19,37
6720483E21Rik,18,9,13,7,12,10,12,12,10,12
Paqr8,2207,1950,1923,1651,1827,2089,1307,1672,1059,1632
Efhc1,17,20,17,17,12,26,9,9,3,12
Tram2,11,7,4,7,12,11,9,13,8,11
Tmem14a,226,230,254,241,234,244,254,274,162,310
Gsta3,35,28,23,29,29,33,29,40,15,23
Gm4956,0,0,0,0,0,0,0,0,0,1
Khdc1a,0,0,0,0,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0,0,0,0,0
Kcnq5,1928,1773,2036,1847,2028,2066,1702,1943,1446,1921
Rims1,1888,1963,1941,1610,1738,1720,2171,2213,1429,2614
4933415F23Rik,0,0,2,0,0,0,0,0,0,0
Mir30a,0,0,0,0,0,0,0,0,0,0
Mir30c-2,0,0,2,0,0,1,0,0,0,0
Ogfrl1,3414,3083,3205,3396,3280,3531,1436,1656,1049,1718
B3gat2,197,214,161,212,144,211,78,89,41,92
Smap1,1316,1426,1418,1443,1320,1382,1071,1207,871,1231
1110058L19Rik,221,176,169,185,189,199,140,169,88,160
Fam135a,529,502,602,497,511,487,457,521,309,457
Col9a1,12,14,14,7,8,13,6,10,10,14
Col19a1,900,994,1010,812,881,862,857,866,503,1045
Lmbrd1,2795,2660,2783,2550,2545,2729,2471,2859,1806,2954
Bai3,1857,1824,1878,1843,1763,1858,1054,1338,843,1270
Gm20172,0,0,1,0,0,1,1,0,0,0
4931408C20Rik,0,0,0,0,0,0,0,0,0,0
Gm597,0,1,0,0,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0,0,0,0,0
Phf3,1419,1466,1388,1016,1190,1145,1080,1278,789,1343
Ptp4a1,96,115,111,120,106,109,109,123,77,136
Gm13363,0,0,0,0,0,0,0,0,0,0
4931428L18Rik,0,0,0,0,0,0,0,0,0,0
Lgsn,0,0,0,0,0,0,1,0,0,0
Pih1d3,0,0,0,0,0,0,0,0,0,0
Gm4850,0,0,0,0,0,0,0,0,0,0
Khdrbs2,46,62,79,66,80,73,50,73,44,64
Gm9839,0,0,0,0,0,0,0,0,0,0
Gm5415,0,2,1,1,3,2,0,1,0,1
Prim2,86,89,109,93,85,97,106,90,62,103
1700001G17Rik,3,6,5,5,3,7,0,3,3,3
Rab23,571,518,554,476,473,548,427,486,319,492
Bag2,121,115,123,112,96,129,92,88,78,91
Zfp451,407,471,442,414,376,426,400,436,275,489
Gm15455,2,1,1,0,0,1,1,1,1,0
Bend6,1582,1637,1739,1576,1679,1691,1999,2174,1272,2385
Dst,6190,6882,6400,4436,5130,4834,5063,5964,3592,6438
Mir6896,0,0,0,0,0,0,0,0,0,0
Mir5103,0,3,0,1,0,0,0,0,0,0
Ccdc115,168,155,173,178,128,184,121,138,87,142
Imp4,269,274,251,263,235,216,212,236,137,272
Ptpn18,11,14,15,18,15,20,10,16,9,12
Prss39,0,0,0,0,0,0,0,0,0,0
Cfc1,0,1,0,0,0,0,0,0,0,0
Prss40,0,0,0,0,0,0,0,0,0,0
Amer3,743,642,750,718,646,784,412,485,343,454
AA619741,0,0,0,0,0,0,1,0,0,0
Arhgef4,3912,3852,3813,3546,3566,4188,2702,3007,2069,3308
Fam168b,5373,5524,5578,5162,4978,5133,4779,5361,3469,5635
Plekhb2,3523,3563,3764,3326,3020,3403,2731,3309,2135,3191
Mir7669,6,5,5,2,2,2,4,4,2,3
Hs6st1,934,1008,1097,857,908,1063,763,861,566,958
Uggt1,1069,1283,1059,854,959,937,903,1059,710,1194
Mir6897,0,0,0,0,0,0,0,0,0,0
Neurl3,8,12,8,7,8,9,7,5,2,4
Arid5a,137,141,187,127,98,185,121,119,63,121
Kansl3,1699,1856,1670,1375,1442,1648,1260,1432,879,1452
Mir6898,0,0,0,0,0,0,0,0,0,0
Fer1l5,3,2,1,4,2,2,3,0,2,3
Lman2l,643,746,558,578,540,605,286,321,214,371
Cnnm4,334,304,359,290,299,363,222,234,169,234
Cnnm3,685,645,628,651,560,678,501,565,333,528
Ankrd23,67,57,55,36,49,58,55,45,48,64
Ankrd39,112,102,114,112,101,102,91,125,59,125
Sema4c,217,273,262,262,230,235,251,243,181,289
Fam178b,0,0,0,0,0,0,0,0,0,1
Cox5b,372,381,377,373,322,418,323,338,211,350
Actr1b,3348,3390,3630,3172,3115,3429,3454,3489,2332,3872
4933424G06Rik,2,1,1,3,3,1,2,7,5,6
Zap70,78,70,60,62,56,82,25,22,11,26
Tmem131,1724,1832,1672,1406,1582,1606,1342,1447,1042,1516
Cnga3,5,5,7,5,5,6,0,3,1,5
Inpp4a,3143,3191,3221,2781,2821,2823,2737,3093,2165,3141
Coa5,1805,1770,1820,1746,1705,1807,1382,1414,993,1520
Unc50,459,444,437,497,450,456,334,405,263,417
Mgat4a,881,946,944,728,782,864,651,758,508,772
4930594C11Rik,0,0,0,0,0,1,0,0,0,2
2010300C02Rik,4930,5169,4936,4245,4911,5629,2557,3146,1924,2711
Tsga10,175,205,147,161,155,186,120,123,77,132
