probe_id	entrez_id	wormbase_id	ensembl_id	other_id
171720_x_at	174997		WBGene00013011	AV179929
171721_x_at	172609		WBGene00011344	6767
171722_x_at	176907		WBGene00018934	AV189310
171723_x_at	180646	CE26817	WBGene00006928	CEC7564
171724_x_at	172353	CE11778	WBGene00000386	AV178012
171725_x_at	179804	CE31962	WBGene00000733	CEK070BXF
171726_x_at	180176		WBGene00001080	CEK102A3R
171727_x_at	173787	CE27050	WBGene00015135	AV181762
171728_x_at	178918		WBGene00003567	2826834
171729_x_at	173773		WBGene00003825	CEK074D4F
171730_x_at	181768		WBGene00006886	4680194
171731_x_at	174286	CE01473	WBGene00007433	CEK044A9R
171732_x_at	176256		WBGene00002998	8515820
171733_x_at	175924		WBGene00017755	AV178000
171734_x_at	175693	CE01308	WBGene00006519	CEK100E6F
171735_x_at	179351	CE06370	WBGene00000720	CEK072GXR
171736_x_at	181231	CE03323	WBGene00004786	1203791
171737_x_at	178139		WBGene00011737	C51771
171738_x_at	177366		WBGene00006780	790603
171739_x_at	259699	CE45013	WBGene00018024	C58760
171740_x_at	174821		WBGene00000528	6451494
171741_x_at	176932	CE16921	WBGene00016638	CEC1925
171742_x_at	178495	CE17593	WBGene00004814	C31412
171743_x_at	178860		WBGene00019357	CEC559
171744_x_at	173515	CE17869	WBGene00018817	C57305
171745_x_at	171609	CE17902	WBGene00004225	CEK008CXR
171746_x_at	181184		WBGene00008865	CEK102EZR
171747_x_at	173610	CE27994	WBGene00017707	AU113348
171748_x_at	178640		WBGene00006794	CEK109C3R
171749_x_at	180482	CE28507	WBGene00021044	C37278
171750_x_at	175459	CE33673	WBGene00010813	C56852
171751_x_at	175633		WBGene00008003	C57484
171752_x_at	178941		WBGene00015966	CEK035FXR
171753_x_at	181334	CE18695	WBGene00003970	7341094
171754_x_at	181623	CE21371	WBGene00012443	CEC509
171755_x_at	176506		WBGene00001996	C49410
171756_x_at	176528 /// 259336	CE20144 /// CE20148	WBGene00000667 /// WBGene00000669	CEK070E8F
171757_x_at	176506		WBGene00001996	4457214
171758_x_at	181175		WBGene00009888	CEK004C7F
171759_x_at	177879	CE06149	WBGene00010676	CEK006E2R
171760_x_at	175771		WBGene00018967	CEC8283
171761_x_at	174073		WBGene00004702	AV185416
171762_x_at	3565475	CE29858	WBGene00012678	AV175982
171763_x_at	175283			AV202093
171764_x_at	174821		WBGene00000528	6451494
171765_x_at	173085		WBGene00002240	C45971
171766_x_at	181340		WBGene00009259	CE16C6
171767_x_at	13183151		WBGene00004622 /// WBGene00004677	AU116500
171768_x_at	179296 /// 179298	CE06699 /// CE30585	WBGene00000599 /// WBGene00000717	CEK056F9R
171769_x_at	175927	CE29282	WBGene00017756	AV203169
171770_x_at	259335	CE20147	WBGene00000668	CEK068B9R
171771_x_at	173819	CE39501	WBGene00018270	C31254
171772_x_at	174838		WBGene00012458	AV187184
171773_x_at	181348		WBGene00001502	C32693
171774_x_at				CEC700
171775_x_at	177982	CE06631	WBGene00014006	C55424
171776_x_at	175586		WBGene00000465	C29306
171777_x_at	174236		WBGene00017547	C53183
171778_x_at	175047		WBGene00012722	CEK056BYF
171779_x_at	171771	CE36338	WBGene00021353	C37614
171780_x_at	176716		WBGene00012713	C59507
171781_x_at	173205		WBGene00012344	C38342
171782_x_at	181209	CE39223	WBGene00007653	CEC699
171783_x_at	177170	CE27822	WBGene00006701	C59923
171784_x_at	180027	CE20371	WBGene00000883	CEC603
171785_x_at	179165		WBGene00016496	C37758
171786_x_at	174166	CE04362	WBGene00004447	C56989
171787_x_at	181350	CE22957	WBGene00006066	C59724
171788_x_at	171818		WBGene00000832	CEC274
171789_x_at	175975	CE01270	WBGene00001168	C29696
171790_x_at	173467	CE21951	WBGene00021576	CEC340
171791_at	172520	CE05765	WBGene00003071	C54461
171792_x_at	180127	CE20087	WBGene00006585	C58362
