go_id	go_name	num_seq	rsq_pile	score
GO:0000041	transition metal ion transport	22	70.35	1.3376202088955582
GO:0000165	MAPK cascade	33	85.00999999999998	1.0109357376986443
GO:0000303	response to superoxide	12	38.88	1.1830057459003045
GO:0000305	response to oxygen radical	12	38.88	1.1830057459003045
GO:0000323	lytic vacuole	77	84.68	2.0159027578179227
GO:0000723	telomere maintenance	18	68.69	4.484619201402894
GO:0000737	DNA catabolic process, endonucleolytic	13	95.48	1.8442809207429158
GO:0000922	spindle pole	18	24.04	0.19328760570910464
GO:0001556	oocyte maturation	13	93.81	1.8816851487017567
GO:0001704	formation of primary germ layer	25	70.67	0.9662297028966867
GO:0001711	endodermal cell fate commitment	14	39.55	0.3528763064628789
GO:0001845	phagolysosome assembly	10	83.08	1.0033117210634033
GO:0001933	negative regulation of protein phosphorylation	22	83.45	1.9310955091855957
GO:0002376	immune system process	219	95.6	3.4031259238327767
GO:0002682	regulation of immune system process	11	94.93	2.1633066655978204
GO:0003333	amino acid transmembrane transport	23	32.75	1.2495892581384929
GO:0005576	extracellular region	311	95.93	5.028262541192816
GO:0005578	proteinaceous extracellular matrix	39	35.35	0.8623389172324452
GO:0005581	collagen trimer	19	10.36	1.2703769659743438
GO:0005604	basement membrane	20	19.64	0.24603967694632545
GO:0005615	extracellular space	150	68.77	2.694124528808897
GO:0005764	lysosome	76	84.25	2.048346945381863
GO:0005765	lysosomal membrane	19	1.37	0.034813824631414435
GO:0005773	vacuole	116	87.24	1.5078567658673971
GO:0005774	vacuolar membrane	53	3.15	0.033088894700616364
GO:0005795	Golgi stack	28	78.36	2.135681131320422
GO:0005797	Golgi medial cisterna	10	74.74	3.153440630520116
GO:0005802	trans-Golgi network	15	41.66	0.3610167078233459
GO:0005813	centrosome	59	43.08	0.4066916066336545
GO:0005818	aster	14	94.23	1.3331073822454884
GO:0005869	dynactin complex	10	12.76	0.12607354282295524
GO:0005871	kinesin complex	21	26.46	0.654081340391091
GO:0005874	microtubule	75	26.19	0.9955418157068692
GO:0005876	spindle microtubule	21	51.98	0.3705801216233208
GO:0005911	cell-cell junction	41	84.68	1.34632442273253
GO:0005996	monosaccharide metabolic process	78	94.26	1.5250562100437428
GO:0006006	glucose metabolic process	16	63.69000000000001	0.6237673286633254
GO:0006022	aminoglycan metabolic process	28	47.04	1.4514430698279164
GO:0006026	aminoglycan catabolic process	13	17.4	1.2971017270263239
GO:0006030	chitin metabolic process	18	63.28	1.985595478557289
GO:0006032	chitin catabolic process	10	10.53	0.9349038541856252
GO:0006040	amino sugar metabolic process	29	64.1	1.784243423937019
GO:0006063	uronic acid metabolic process	49	95.09	1.6767316963043164
GO:0006082	organic acid metabolic process	345	96.12	1.4143506868209768
GO:0006171	cAMP biosynthetic process	11	25.69	1.091056819003482
GO:0006298	mismatch repair	10	84.50999999999998	2.9991221727878066
GO:0006308	DNA catabolic process	20	81.6	0.8943132794452504
GO:0006309	apoptotic DNA fragmentation	11	91.48	1.6629136909540685
GO:0006323	DNA packaging	25	98.14	2.016277154376452
GO:0006333	chromatin assembly or disassembly	18	89.23	1.2316085677521398
GO:0006334	nucleosome assembly	15	93.0	1.4152048430155078
GO:0006403	RNA localization	32	86.61	1.2551277629686053
GO:0006405	RNA export from nucleus	11	21.8	0.15891702507905892
GO:0006469	negative regulation of protein kinase activity	16	87.55	2.600588360002375
GO:0006470	protein dephosphorylation	118	77.88000000000002	1.6014050908619266
GO:0006487	protein N-linked glycosylation	28	84.08	0.93985998741484
GO:0006576	cellular biogenic amine metabolic process	28	92.03	1.222479825097691
GO:0006739	NADP metabolic process	10	82.39999999999998	1.0793766861223533
GO:0006805	xenobiotic metabolic process	20	98.07	1.7144865569067356
GO:0006825	copper ion transport	10	74.56	1.9493859750905775
GO:0006865	amino acid transport	27	29.98	1.0251725810474586
GO:0006869	lipid transport	45	83.38	2.546384299112291
GO:0006887	exocytosis	53	60.49	1.1722520749015404
GO:0006904	vesicle docking involved in exocytosis	19	91.75	1.9830169833137825
GO:0006913	nucleocytoplasmic transport	54	71.64	1.2639205302548788
GO:0006921	cellular component disassembly involved in execution phase of apoptosis	11	91.48	1.6629136909540685
GO:0006935	chemotaxis	118	15.42	0.14107991899187955
GO:0006937	regulation of muscle contraction	15	30.35	0.24623626152421846
GO:0006952	defense response	303	95.85	8.232117206559636
GO:0006955	immune response	217	95.31	3.376927459989084
GO:0006972	hyperosmotic response	12	23.19	0.6537279740422858
GO:0006979	response to oxidative stress	63	81.17999999999998	1.1335657716884826
GO:0006986	response to unfolded protein	53	75.3	5.112175165497403
GO:0006998	nuclear envelope organization	10	84.07	1.1061497082484473
GO:0007009	plasma membrane organization	33	19.55	1.1663253282928845
GO:0007018	microtubule-based movement	47	52.09	1.0822807371549898
GO:0007020	microtubule nucleation	10	49.87	0.4159086640428593
GO:0007029	endoplasmic reticulum organization	11	81.27	0.9786991827927288
GO:0007098	centrosome cycle	11	56.92	0.7877692983927341
GO:0007416	synapse assembly	10	73.02	0.9282628225305768
GO:0007517	muscle organ development	25	87.92	1.4123100862273683
GO:0007617	mating behavior	36	46.48	1.0725248312488107
GO:0007618	mating	40	60.12	1.2169080469097844
GO:0007638	mechanosensory behavior	23	10.11	0.188469407096627
GO:0008021	synaptic vesicle	18	71.55	1.4321556492158825
GO:0008284	positive regulation of cell proliferation	10	76.53	1.4810282011845308
GO:0008286	insulin receptor signaling pathway	10	64.36	1.1714915958190082
GO:0008645	hexose transport	15	42.38	1.0467268503114326
GO:0009084	glutamine family amino acid biosynthetic process	10	33.27	0.9976739361851104
GO:0009187	cyclic nucleotide metabolic process	11	25.69	1.091056819003482
GO:0009190	cyclic nucleotide biosynthetic process	11	25.69	1.091056819003482
GO:0009266	response to temperature stimulus	50	74.24	5.191809560301837
GO:0009306	protein secretion	19	90.45	2.2171200524848844
GO:0009308	amine metabolic process	29	90.49	1.132892494536025
GO:0009311	oligosaccharide metabolic process	21	83.08	0.9153496448224534
GO:0009314	response to radiation	37	89.64999999999998	2.2344246881440917
GO:0009408	response to heat	43	80.54	5.579559367470049
GO:0009410	response to xenobiotic stimulus	22	97.79	1.655608160609586
GO:0009411	response to UV	17	33.45	0.21977682459519776
GO:0009416	response to light stimulus	17	33.45	0.21977682459519776
GO:0009605	response to external stimulus	290	73.8	1.8925192690549817
GO:0009607	response to biotic stimulus	105	95.06	6.274460779746032
GO:0009617	response to bacterium	96	98.56	7.0327516405445065
GO:0009620	response to fungus	15	40.3	3.304424645086536
GO:0009628	response to abiotic stimulus	132	83.59	3.385652209239886
